symbol,roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover
BOTJ,1,1,0,1,0,0,1,0,1
BOX,0,0,1,0,0,0,0,0,0
BOXL,0,0,1,0,0,0,0,0,1
BP,1,1,0,1,0,0,0,1,0
BPMC,0,0,0,0,0,0,0,0,1
BPMP,1,1,1,1,0,1,0,0,0
BPOP,1,1,0,1,1,0,1,0,0
BPTH,0,0,1,0,0,1,0,1,0
BR,1,1,1,1,0,1,1,1,0
BRBR,1,1,1,1,0,1,0,1,0
BRBS,0,1,1,1,0,0,0,0,0
BRC,1,1,1,1,1,0,0,0,0
BRDG,0,0,0,0,1,1,0,0,0
BRFS,1,1,1,1,1,0,1,1,1
BRG,0,1,1,1,0,0,0,1,0
BRID,1,1,0,1,0,0,1,1,0
BRKL,1,1,0,1,0,0,0,0,0
BRKR,1,1,0,1,0,1,1,1,0
BRKS,1,1,1,1,1,0,0,1,0
BRLI,1,1,0,1,0,1,0,0,0
BRN,0,0,0,0,0,0,1,0,1
BRO,1,1,0,1,0,1,0,0,0
BRP,0,1,1,1,1,1,0,1,0
BRQS,0,0,0,0,0,1,0,1,1
BRT,1,1,1,1,0,0,0,1,0
BRW,1,1,0,1,0,0,1,0,0
BRX,1,1,0,1,1,0,1,1,0
BRY,1,1,0,1,0,0,1,0,0
BSAC,1,1,0,1,0,0,1,0,0
BSET,0,0,0,0,1,1,1,0,1
BSGM,0,0,1,0,0,1,0,1,0
BSIG,1,1,1,1,0,0,1,0,0
BSM,1,1,0,1,1,1,0,0,0
BSQR,0,0,0,0,0,0,0,0,1
BSRR,1,1,1,1,1,0,1,0,1
BSVN,1,1,0,1,0,0,1,0,0
BSX,1,1,1,1,0,1,0,0,0
BTAI,0,0,0,0,0,0,0,1,0
BTCY,0,0,0,0,0,0,0,1,1
BTG,1,1,1,1,1,1,0,1,0
BTI,1,1,0,1,1,0,0,1,1
BTN,0,0,1,0,0,0,0,1,0
BTU,0,0,0,0,1,0,1,0,0
BTX,0,0,0,0,0,0,0,0,1
BUD,1,1,1,1,1,1,1,0,0
BUR,0,0,0,0,0,0,0,0,0
BURL,1,1,0,1,0,0,1,0,0
BUSE,1,1,0,1,0,0,1,0,0
BV,1,1,1,1,1,1,0,0,1
BVN,0,0,0,0,1,0,1,0,0
BVXV,0,0,0,0,0,0,1,1,0
BW,0,0,1,0,0,0,0,1,1
BWA,1,1,0,1,1,1,1,0,0
BWAY,0,0,1,0,1,1,0,0,0
BWB,1,1,0,1,1,0,1,0,0
BWEN,0,0,1,0,0,1,0,1,1
BWFG,1,1,1,1,1,0,0,0,1
BWXT,1,1,0,1,0,1,0,1,0
BX,1,1,1,1,0,0,0,0,0
BXC,0,1,1,1,0,1,0,1,0
BXMT,1,1,0,1,0,0,0,0,0
BXP,1,1,0,1,0,0,0,1,1
BXRX,0,0,1,0,0,1,1,1,0
BXS,1,1,0,1,0,0,1,0,0
BY,1,1,1,1,0,0,0,0,0
BYD,1,1,1,1,0,0,0,0,0
BYFC,0,0,0,0,0,0,0,0,0
BYND,0,0,1,0,0,1,0,1,0
BYRN,0,0,1,0,0,0,0,0,0
BYSI,0,0,1,0,0,1,0,1,0
BZ,1,1,0,1,1,0,0,0,1
BZH,0,0,0,0,1,0,1,0,1
BZUN,1,1,0,1,0,1,0,0,0
C,1,1,1,1,0,0,1,0,0
CAAP,1,1,0,1,0,0,1,0,1
CAAS,1,0,1,0,1,1,1,0,0
CABA,0,0,1,0,0,1,0,1,0
CABO,1,1,0,1,0,0,0,1,0
CAC,1,1,0,1,1,0,1,0,0
CACC,1,1,0,1,0,0,1,0,0
CACI,1,1,0,1,0,0,0,1,0
CADE,1,1,0,1,1,0,0,0,0
CAE,1,1,0,1,0,0,1,0,1
CAG,1,1,0,1,0,1,0,0,0
CAH,1,1,1,1,1,0,1,0,1
CAI,1,1,0,1,1,1,1,0,0
CAJ,1,1,0,1,0,0,1,0,0
CAKE,1,1,0,1,0,0,1,0,0
CAL,1,1,1,1,0,0,1,0,0
CALA,0,0,0,0,0,0,0,1,0
CALB,0,1,1,1,0,0,1,0,0
CALM,1,1,0,1,1,1,0,0,0
CALX,0,0,1,0,0,1,0,0,0
CAMP,1,1,0,1,0,1,1,0,0
CAMT,1,1,0,1,0,1,0,0,0
CAN,0,0,1,0,1,1,1,0,0
CANF,0,0,0,0,0,0,0,0,0
CANG,1,1,0,1,0,0,1,1,0
CAPL,1,1,1,1,0,0,0,1,0
CAPR,0,0,1,0,0,1,0,0,0
CAR,1,1,1,1,0,0,1,1,0
CARA,0,0,0,0,0,0,0,0,1
CARE,0,0,1,0,0,0,1,0,1
CARG,1,1,0,1,0,0,0,0,0
CARR,0,1,1,1,0,0,1,0,0
CARS,0,0,0,0,1,0,1,0,1
CARV,0,0,0,0,1,0,0,0,0
CASA,0,0,0,0,1,0,0,0,1
CASH,1,1,1,1,0,0,1,0,1
CASI,0,0,0,0,1,0,0,1,1
CASS,1,1,0,1,0,0,1,0,0
CASY,1,1,0,1,0,0,0,0,1
CAT,1,1,0,1,0,1,1,0,0
CATC,1,1,0,1,0,0,0,0,0
CATO,1,1,0,1,0,0,1,1,0
CATY,1,1,0,1,0,0,1,0,0
CB,1,1,1,1,0,0,1,0,1
CBAN,1,1,0,1,0,0,0,0,1
CBAT,0,0,1,0,0,0,0,1,0
CBAY,0,0,0,0,0,0,0,1,0
CBD,1,1,1,1,0,0,0,0,1
CBFV,1,1,1,1,1,0,1,0,1
CBIO,0,0,0,0,0,0,0,1,0
CBMB,1,1,1,1,0,0,1,0,1
CBNK,1,1,1,1,0,0,0,0,0
CBOE,1,1,0,1,1,1,1,1,0
CBRE,1,1,1,1,0,1,1,0,0
CBRL,1,1,0,1,0,0,0,1,0
CBSH,1,1,0,1,1,0,0,0,0
CBT,1,1,1,1,0,1,1,0,1
CBTX,1,1,0,1,0,0,1,0,1
CBU,1,1,0,1,1,0,0,0,0
CBZ,1,1,0,1,0,0,0,0,0
CC,0,1,0,1,0,0,1,0,0
CCAP,1,1,1,1,0,0,0,1,1
CCB,1,1,1,1,1,0,0,0,0
CCBG,1,1,1,1,1,0,0,0,1
CCEL,1,1,1,1,1,0,1,0,0
CCEP,1,1,1,1,0,0,1,0,1
CCF,1,1,0,1,1,1,0,0,0
CCI,1,1,1,1,0,0,0,0,0
CCJ,1,1,0,1,1,1,0,0,0
CCK,1,1,1,1,1,0,0,1,0
CCL,1,1,0,1,0,0,1,0,1
CCLP,0,1,1,1,0,0,0,1,1
CCM,0,1,0,1,0,0,0,1,0
CCMP,1,1,0,1,0,0,0,0,0
CCNE,1,1,0,1,0,0,1,0,0
CCO,0,1,0,1,0,0,0,0,0
CCOI,1,1,1,1,0,1,0,1,0
CCRN,0,0,0,0,0,0,0,0,1
CCS,1,1,0,1,0,0,0,1,0
CCSI,0,0,0,0,1,0,0,0,1
CCU,1,1,0,1,0,1,1,0,0
CCXI,0,0,0,0,0,1,0,0,0
CDAY,1,1,1,1,0,1,0,1,1
CDE,0,0,0,0,1,0,0,0,1
CDEV,1,1,0,1,0,0,0,0,0
CDK,1,1,0,1,0,0,1,1,0
CDLX,0,0,1,0,1,1,0,1,1
CDMO,0,0,1,0,0,1,0,1,1
CDNA,0,0,1,0,0,0,0,1,1
CDNS,1,1,1,1,1,1,1,1,0
CDOR,0,1,0,1,1,0,0,0,1
CDR,0,1,1,1,0,0,0,0,0
CDTX,0,0,1,0,0,0,0,1,1
CDW,1,1,1,1,0,0,1,1,1
CDXC,0,0,0,0,0,0,0,1,1
CDXS,0,0,1,0,0,1,0,0,0
CDZI,0,0,0,0,0,1,0,0,0
CE,1,1,0,1,0,0,1,0,0
CEA,1,1,1,1,0,1,0,1,1
CECE,1,1,1,1,0,1,0,1,1
CEI,1,1,1,1,1,1,0,0,1
CEIX,1,1,0,1,1,0,1,0,0
CELC,0,0,0,0,0,0,0,1,0
CELH,1,0,1,0,0,0,0,1,0
CELP,1,1,1,1,0,1,0,0,1
CEMI,0,0,0,0,0,1,0,0,0
CENT,1,1,0,1,0,0,1,0,0
CENX,0,0,0,0,0,0,0,0,1
CEPU,1,1,0,1,0,0,1,0,0
CEQP,1,1,1,1,0,0,0,1,0
CERE,0,0,0,0,0,0,1,0,0
CERN,1,1,0,1,0,0,1,0,1
CERS,0,0,0,0,0,0,0,1,1
CETX,0,0,0,0,1,0,0,1,0
CEVA,0,0,0,0,0,0,0,0,1
CF,1,1,1,1,1,0,1,1,1
CFB,1,1,1,1,1,0,0,0,0
CFBK,1,1,1,1,0,0,0,0,1
CFFI,1,1,0,1,0,0,0,0,1
CFFN,1,1,0,1,1,0,0,0,0
CFG,1,1,0,1,1,0,1,0,0
CFMS,0,0,1,0,0,0,0,0,1
CFR,1,1,0,1,0,0,1,0,0
CFRX,0,0,1,0,0,0,0,1,0
CFX,0,1,0,1,0,1,0,1,0
CG,1,1,1,1,0,0,0,1,1
CGA,1,1,1,1,1,1,0,0,1
CGBD,1,1,1,1,0,0,1,1,0
CGC,0,0,1,0,0,1,0,0,0
CGEN,0,0,0,0,0,1,0,1,0
CGNT,0,0,1,0,0,1,0,0,0
CGNX,1,1,0,1,0,0,0,0,0
CHCI,1,1,1,1,1,0,0,1,0
CHCO,1,1,1,1,1,0,1,0,1
CHCT,1,1,1,1,0,0,0,1,1
CHD,1,1,0,1,1,1,1,1,0
CHDN,1,1,0,1,0,0,1,0,0
CHE,1,1,0,1,0,0,0,1,0
CHEF,1,1,0,1,0,1,0,1,0
CHEK,0,0,0,0,0,0,0,1,0
CHGG,0,1,1,1,0,1,0,1,0
CHH,1,1,0,1,0,0,0,0,0
CHK,0,0,0,0,0,0,0,1,0
CHKP,1,1,0,1,0,0,1,0,1
CHMG,1,1,0,1,0,0,0,0,0
CHMI,0,0,0,0,0,0,0,0,0
CHNR,0,0,1,0,0,0,1,1,0
CHRA,0,0,0,0,1,0,0,0,0
CHRS,1,1,1,1,0,1,0,1,1
CHRW,1,1,0,1,0,0,1,1,0
CHS,0,0,0,0,0,0,0,0,0
CHT,1,1,0,1,0,0,1,0,0
CHTR,1,1,1,1,0,1,1,0,1
CHUY,1,1,0,1,0,0,1,1,0
CHWY,0,0,1,0,0,1,0,1,0
CI,1,1,1,1,1,1,1,0,1
CIA,0,1,1,1,0,0,0,0,0
CIB,1,1,1,1,1,0,1,0,1
CIDM,0,0,0,0,1,0,0,0,0
CIEN,1,1,1,1,1,1,1,1,1
CIG,1,1,1,1,1,0,1,1,0
CIGI,1,1,0,1,0,0,1,0,0
CIH,1,1,1,1,0,1,1,1,0
CIM,1,1,0,1,1,0,0,0,0
CINF,1,1,1,1,0,0,1,1,1
CINR,1,1,0,1,0,1,0,1,0
CIO,0,1,0,1,1,0,0,1,0
CIR,0,1,0,1,1,1,0,1,0
CIT,1,1,1,1,1,0,1,0,0
CIVB,1,1,1,1,0,0,0,0,1
CIX,1,1,0,1,0,1,0,0,0
CIZN,1,1,0,1,0,0,0,0,0
CJJD,0,0,1,0,0,0,0,1,1
CKPT,0,0,0,0,0,1,0,0,0
CKX,1,1,0,1,0,1,1,1,0
CL,1,1,0,1,0,0,1,0,0
CLAR,1,1,1,1,0,0,0,1,1
CLAS,1,1,0,1,0,0,1,0,0
CLAY,0,0,0,0,1,0,0,1,0
CLB,1,1,1,1,0,0,0,0,0
CLBK,1,1,1,1,0,0,1,0,1
CLBR,0,0,0,0,0,0,0,1,1
CLBS,0,0,0,0,0,0,0,1,0
CLDB,1,1,0,1,1,0,1,0,0
CLDT,1,1,0,1,0,0,0,0,0
CLDX,0,0,1,0,0,0,0,0,0
CLF,1,1,0,1,0,0,1,0,0
CLFD,1,1,0,1,0,0,1,0,1
CLGN,0,0,0,0,0,0,0,0,0
CLH,1,1,1,1,0,0,1,0,0
CLI,1,0,1,0,0,0,0,0,0
CLIR,0,0,0,0,0,0,0,1,0
CLLS,0,0,0,0,0,0,0,0,0
CLMT,0,1,1,1,1,0,0,1,1
CLNE,1,1,1,1,0,0,0,0,1
CLOV,1,0,0,0,1,0,1,0,0
CLPR,0,1,1,1,0,0,0,0,0
CLPS,0,0,1,0,1,1,0,1,0
CLPT,0,0,1,0,1,0,0,0,1
CLR,1,1,0,1,1,0,1,0,0
CLRB,0,0,1,0,1,0,0,1,0
CLRO,0,0,1,0,0,0,0,0,0
CLS,1,1,0,1,1,1,1,0,0
CLSD,0,0,1,0,1,0,0,0,1
CLSK,0,0,1,0,0,1,0,0,1
CLSN,0,0,0,0,0,0,0,0,1
CLVS,0,0,0,0,0,0,0,0,1
CLW,0,1,1,1,0,1,0,0,1
CLWT,1,0,0,0,1,1,1,0,1
CLX,1,1,0,1,0,0,1,1,0
CLXT,0,0,0,0,0,0,0,0,1
CM,1,1,0,1,0,0,0,0,0
CMA,1,1,0,1,0,0,1,0,0
CMC,1,1,1,1,0,0,0,1,1
CMCL,1,1,1,1,1,1,0,1,0
CMCM,1,1,0,1,1,1,0,1,0
CMCO,1,1,1,1,1,0,0,1,1
CMCSA,1,1,0,1,1,1,0,0,0
CMCT,1,0,1,0,1,0,0,0,1
CME,1,1,1,1,1,1,0,0,1
CMG,1,1,0,1,0,0,0,1,0
CMI,1,1,0,1,1,0,1,1,0
CMO,0,1,0,1,1,0,0,0,1
CMP,1,1,0,1,0,1,0,1,0
CMPR,1,1,1,1,0,0,1,0,0
CMPX,1,1,0,1,0,0,0,1,0
CMRE,1,1,1,1,1,0,0,1,1
CMRX,0,0,0,0,0,0,0,0,1
CMS,1,1,0,1,0,0,0,1,0
CMT,0,0,0,0,1,0,0,0,1
CMTL,1,1,0,1,1,1,0,0,1
CNA,1,1,1,1,1,0,1,1,1
CNBKA,1,1,0,1,0,0,1,0,0
CNC,1,1,1,1,0,1,0,0,1
CNCE,0,0,0,0,0,0,0,0,0
CNDT,0,0,0,0,0,0,0,0,1
CNET,0,0,0,0,0,1,0,0,1
CNF,1,1,0,1,1,0,1,0,0
CNFR,0,0,1,0,0,0,0,1,0
CNHI,1,1,1,1,0,0,1,0,0
CNI,1,1,0,1,0,1,1,0,1
CNK,1,1,0,1,0,0,0,0,0
CNMD,1,1,0,1,0,0,0,1,0
CNNB,1,1,0,1,0,0,0,0,0
CNNE,1,0,1,0,0,1,0,0,0
CNO,1,1,1,1,1,0,1,0,0
CNOB,1,1,1,1,1,0,0,0,1
CNP,1,1,1,1,0,0,0,1,0
CNQ,1,1,1,1,0,1,1,1,1
CNR,0,1,0,1,0,1,0,0,0
CNS,1,1,1,1,0,0,0,0,1
CNSL,0,1,1,1,1,1,0,1,0
CNSP,0,0,1,0,1,1,0,1,0
CNTG,0,0,1,0,0,1,0,0,0
CNTY,0,0,0,0,0,1,0,1,0
CNX,0,1,0,1,0,0,1,1,1
CNXN,1,1,1,1,0,0,1,1,0
CO,1,1,0,1,0,0,1,0,0
COCP,0,0,0,0,0,1,0,1,1
CODA,1,1,0,1,1,1,0,0,1
CODI,1,1,1,1,1,1,0,1,0
CODX,0,0,1,0,1,1,0,0,1
COE,0,0,1,0,1,0,0,1,0
COF,1,1,0,1,1,0,1,0,0
COFS,1,1,0,1,0,0,0,0,0
COHN,0,1,1,1,0,0,0,0,0
COHR,1,1,0,1,1,1,1,0,0
COHU,0,0,0,0,0,0,0,1,0
COKE,1,1,1,1,0,1,0,1,1
COLB,1,1,0,1,0,0,1,0,0
COLD,1,1,0,1,0,0,0,1,0
COLL,0,0,0,0,0,1,0,0,1
COLM,1,1,1,1,0,0,1,1,0
COMM,0,0,0,0,0,0,0,0,0
COMS,1,1,1,1,1,1,1,1,1
CONE,1,1,1,1,0,0,0,0,1
CONN,1,1,0,1,0,1,1,1,0
COO,1,1,1,1,1,0,1,1,1
COOK,0,0,1,0,0,0,0,1,0
COOP,1,1,1,1,0,0,0,1,1
COP,1,1,1,1,1,1,1,1,0
COR,1,1,0,1,0,0,0,0,0
CORR,0,1,0,1,0,0,0,1,0
CORT,1,1,0,1,0,1,1,1,0
COST,1,1,1,1,0,0,0,0,0
COTY,0,0,0,0,0,1,0,1,1
COUP,0,0,1,0,0,1,0,0,0
COWN,1,0,0,0,0,0,1,1,0
CP,1,1,1,1,0,0,1,1,0
CPA,1,1,1,1,1,1,0,1,0
CPAC,1,1,1,1,0,0,1,0,1
CPB,1,1,0,1,1,0,0,1,0
CPE,1,1,0,1,0,0,0,0,0
CPF,1,1,0,1,1,0,1,0,0
CPG,0,0,1,0,1,0,1,0,0
CPHC,1,1,0,1,0,0,0,0,0
CPHI,0,0,0,0,1,0,1,0,1
CPIX,0,0,1,0,0,0,1,0,1
CPK,1,1,1,1,0,0,0,1,0
CPLG,0,0,1,0,1,0,1,0,1
CPLP,0,1,1,1,1,1,1,1,0
CPRI,1,1,0,1,0,0,0,1,0
CPRT,1,1,1,1,0,0,1,1,1
CPRX,1,1,1,1,0,0,0,0,1
CPS,1,0,0,0,0,1,1,0,0
CPSH,0,0,1,0,0,0,0,0,1
CPSI,1,1,1,1,1,0,0,0,0
CPSS,1,1,0,1,0,0,0,0,0
CPT,1,1,1,1,0,0,0,1,1
CQP,1,1,0,1,0,1,0,1,0
CR,1,1,0,1,0,0,1,1,0
CRAI,1,1,0,1,0,0,1,0,0
CRBP,0,0,0,0,0,0,0,0,1
CRC,0,1,0,1,1,0,0,0,0
CREG,0,0,0,0,1,0,0,1,1
CRESY,0,0,0,0,0,0,1,0,1
CREX,1,0,1,0,0,0,0,0,1
CRH,1,1,0,1,0,1,1,1,0
CRI,1,1,0,1,0,0,1,0,0
CRIS,0,0,0,0,1,1,0,1,1
CRK,1,1,1,1,0,0,0,0,0
CRL,1,1,0,1,0,0,0,0,0
CRM,1,1,0,1,0,1,0,1,0
CRMD,0,0,1,0,1,1,0,0,0
CRMT,1,1,1,1,0,0,1,1,1
CRNC,1,1,1,1,0,1,0,0,0
CRNT,0,1,0,1,0,1,0,1,0
CRNX,0,0,0,0,0,0,0,0,0
CRON,1,0,1,0,1,1,0,0,0
CROX,1,1,1,1,0,0,1,0,0
CRS,1,1,0,1,0,0,0,1,1
CRSP,1,1,1,1,0,1,0,0,1
CRTO,1,1,0,1,0,1,1,1,0
CRTX,0,0,1,0,0,0,0,1,0
CRU,1,1,1,1,0,1,0,1,0
CRUS,1,1,0,1,0,1,1,1,0
CRVL,1,1,1,1,0,1,1,1,0
CRVS,0,0,0,0,0,0,1,1,0
CRWD,0,0,1,0,0,1,0,1,0
CRWS,1,1,1,1,1,0,0,1,1
CRY,1,1,1,1,0,0,0,1,1
CS,1,1,1,1,0,0,1,0,1
CSBR,1,1,1,1,0,1,0,0,0
CSCO,1,1,1,1,1,0,1,1,1
CSGP,1,1,1,1,0,0,0,1,1
CSGS,1,1,1,1,0,0,1,0,0
CSII,0,0,0,0,1,0,0,0,1
CSIQ,1,1,0,1,0,1,0,1,0
CSL,1,1,0,1,0,0,1,1,1
CSLT,0,0,0,0,0,0,0,0,0
CSOD,0,1,1,1,0,0,0,1,1
CSPI,0,0,0,0,0,0,0,0,1
CSPR,0,0,1,0,0,1,0,1,0
CSR,1,1,0,1,0,0,0,1,0
CSSE,0,0,0,0,0,0,0,0,1
CSTE,1,1,0,1,0,0,0,0,0
CSTL,1,1,1,1,0,1,0,1,0
CSTM,1,1,0,1,0,0,0,1,0
CSTR,1,1,1,1,1,0,0,0,1
CSU,0,0,1,0,0,0,0,0,0
CSV,1,1,1,1,0,1,1,1,0
CSWC,1,1,0,1,0,0,0,0,1
CSWI,1,1,1,1,0,1,1,1,1
CSX,1,1,0,1,0,1,1,1,0
CTAS,1,1,0,1,0,0,1,1,0
CTBI,1,1,1,1,0,0,0,0,0
CTEK,1,0,1,0,1,1,0,1,0
CTG,1,1,1,1,0,0,0,0,0
CTHR,1,1,1,1,0,1,0,1,1
CTIB,0,0,0,0,0,0,0,0,0
CTIC,0,0,0,0,1,0,0,1,0
CTK,0,0,0,0,0,0,1,1,0
CTLT,1,1,1,1,0,0,0,1,0
CTMX,0,0,0,0,0,0,0,0,1
CTO,1,1,1,1,0,0,1,1,0
CTRA,0,0,1,0,0,0,1,0,0
CTRE,1,1,0,1,0,0,0,0,0
CTRM,1,1,1,1,0,0,0,0,0
CTRN,1,1,1,1,0,1,1,0,1
CTS,1,1,0,1,0,1,1,0,0
CTSH,1,1,0,1,0,0,1,0,0
CTSO,0,0,0,0,0,0,0,1,1
CTT,0,1,1,1,1,0,1,1,1
CTVA,0,0,1,0,1,1,0,1,0
CTXR,0,0,0,0,0,0,0,1,0
CTXS,1,1,1,1,1,1,1,0,1
CUBE,1,1,0,1,0,0,0,1,0
CUBI,1,1,1,1,0,0,0,0,1
CUE,0,0,1,0,0,0,0,0,1
CULP,1,1,0,1,0,1,1,0,0
CURO,1,1,1,1,0,0,1,1,0
CUTR,0,0,1,0,0,0,0,1,1
CUZ,1,1,1,1,0,0,0,1,0
CVA,1,1,0,1,0,1,0,0,1
CVBF,1,1,1,1,1,0,0,0,1
CVCO,1,1,1,1,1,1,0,1,0
CVCY,1,1,0,1,1,0,1,0,1
CVE,1,1,1,1,1,1,0,1,1
CVEO,0,0,1,0,0,0,0,1,1
CVET,0,0,0,0,0,0,0,1,0
CVGI,1,1,0,1,0,1,0,0,0
CVGW,1,1,1,1,1,1,0,1,1
CVI,1,1,1,1,0,0,1,1,0
CVLT,1,1,1,1,0,1,0,0,1
CVLY,1,1,0,1,1,0,0,0,0
CVM,0,0,0,0,0,0,1,0,0
CVNA,0,0,1,0,0,0,0,1,1
CVR,1,1,0,1,0,1,1,0,0
CVS,1,1,1,1,0,0,0,1,0
CVU,1,1,0,1,1,1,0,0,0
CVV,0,0,0,0,1,0,0,0,0
CVX,1,1,0,1,1,0,1,0,0
CW,1,1,1,1,0,1,1,0,0
CWBC,1,1,0,1,1,0,1,0,0
CWBR,0,0,0,0,0,0,0,1,0
CWCO,1,1,0,1,0,1,0,1,0
CWEN,0,1,0,1,0,0,0,0,0
CWH,0,1,0,1,0,0,0,0,0
CWK,0,1,1,1,0,0,0,1,0
CWST,1,1,1,1,0,0,0,1,0
CWT,1,1,0,1,0,0,0,0,0
CX,1,1,0,1,0,1,0,0,0
CXDC,1,1,1,1,1,0,0,0,0
CXDO,1,1,1,1,1,1,0,1,0
CXP,1,1,0,1,0,0,1,0,1
CXW,1,1,1,1,0,1,0,0,0
CYAD,0,0,1,0,0,0,0,0,0
CYAN,0,0,0,0,0,0,0,0,0
CYBE,1,1,0,1,0,1,0,1,0
CYBR,1,1,0,1,0,0,1,0,0
CYCC,0,0,0,0,0,1,1,1,0
CYCN,0,0,1,0,0,1,0,1,0
CYD,1,1,0,1,0,0,1,0,1
CYH,0,1,1,1,0,1,0,1,0
CYRN,0,0,1,0,0,0,0,0,1
CYRX,0,0,1,0,1,1,0,0,0
CYT,1,1,0,1,0,1,1,0,1
CYTK,0,0,0,0,0,0,0,0,0
CYTO,0,0,0,0,0,0,0,0,1
CZNC,1,1,0,1,0,0,1,0,0
CZR,0,1,0,1,1,1,0,1,1
CZWI,1,1,1,1,0,0,0,0,1
D,1,1,0,1,0,0,0,0,0
DAC,1,1,1,1,1,1,0,0,1
DAIO,0,0,0,0,0,1,1,0,0
DAKT,0,0,0,0,1,0,0,0,0
DAL,1,1,1,1,0,1,1,1,0
DALN,0,0,1,0,1,1,0,1,1
DAN,1,1,0,1,0,1,0,0,0
DAO,0,0,1,0,0,1,0,1,0
DAR,1,1,1,1,0,0,1,0,0
DARE,0,0,0,0,0,0,0,1,0
DAVA,1,1,0,1,1,1,0,0,0
DB,0,0,0,0,1,0,0,0,0
DBD,0,0,1,0,0,0,0,1,1
DBI,1,1,1,1,0,0,1,0,0
DBVT,0,0,1,0,0,1,0,1,0
DBX,0,0,1,0,0,0,0,1,0
DCI,1,1,1,1,0,0,1,0,0
DCO,1,1,1,1,0,1,0,1,1
DCOM,1,1,0,1,0,0,1,0,0
DCP,0,0,0,0,0,0,0,1,0
DCPH,0,1,1,1,0,0,0,1,0
DCRN,0,0,0,0,1,0,1,0,0
DCT,1,1,1,1,0,0,0,1,1
DCTH,0,0,0,0,1,1,0,1,1
DD,1,1,0,1,1,0,1,1,0
DDD,0,0,0,0,0,0,0,0,0
DDS,1,1,0,1,0,1,1,0,0
DE,1,1,1,1,0,0,1,1,1
DEA,1,1,0,1,0,0,0,0,1
DECK,1,1,1,1,1,0,1,1,1
DEI,1,1,1,1,0,0,0,1,1
DELL,1,1,1,1,1,0,0,1,1
DENN,1,1,1,1,0,1,1,1,0
DEO,1,1,1,1,0,0,1,1,1
DESP,0,0,0,0,0,0,0,0,0
DFFN,0,0,1,0,0,0,0,1,0
DFIN,1,1,0,1,1,0,0,0,0
DFS,1,1,0,1,1,0,1,0,1
DG,1,1,0,1,0,0,1,1,0
DGICA,1,1,1,1,1,0,0,1,0
DGII,1,1,1,1,0,0,0,0,1
DGLY,0,0,1,0,1,0,0,0,1
DGX,1,1,1,1,0,1,1,1,0
DHC,0,1,0,1,1,0,0,0,0
DHI,1,1,0,1,0,0,1,0,0
DHIL,1,1,1,1,0,0,1,0,1
DHR,1,1,0,1,0,1,1,0,0
DHT,1,1,1,1,1,1,0,1,1
DHX,1,1,1,1,0,0,0,1,0
DICE,0,0,1,0,1,0,0,1,1
DIN,1,1,1,1,0,0,1,0,0
DIOD,1,1,1,1,1,0,1,1,0
DIS,1,1,0,1,0,0,0,0,0
DISCA,1,1,1,1,1,1,1,1,1
DISH,1,1,0,1,1,1,0,1,0
DIT,1,1,0,1,0,1,1,1,0
DJCO,0,0,0,0,1,0,1,1,1
DK,1,1,0,1,0,0,1,1,0
DKL,1,1,0,1,0,1,0,1,0
DKS,1,1,0,1,0,0,1,1,0
DLA,1,1,1,1,0,0,0,0,0
DLB,1,1,1,1,0,0,1,0,0
DLHC,1,1,1,1,0,0,0,0,0
DLNG,1,1,1,1,1,0,1,0,1
DLPN,0,0,1,0,0,0,0,0,0
DLR,1,1,1,1,1,0,0,1,0
DLTH,1,1,0,1,0,0,0,0,0
DLTR,1,1,1,1,0,0,1,0,0
DLX,0,0,0,0,0,1,1,0,1
DM,1,1,0,1,1,0,0,0,0
DMAC,0,0,0,0,0,0,0,1,0
DMLP,1,1,0,1,0,0,0,0,0
DMRC,0,0,0,0,0,0,0,1,1
DMTK,1,0,1,0,0,0,1,1,0
DNA,1,1,1,1,1,1,0,1,0
DNB,1,1,1,1,0,1,0,0,0
DNLI,0,0,0,0,0,0,0,0,0
DNN,0,0,1,0,0,0,0,1,0
DNOW,0,0,0,0,1,0,0,0,0
DOC,1,1,1,1,0,0,0,0,0
DOCU,0,0,1,0,0,0,0,1,0
DOGZ,1,1,0,1,1,0,0,0,0
DOMO,0,0,1,0,0,0,0,1,1
DOOO,1,1,1,1,0,1,1,1,0
DOOR,1,1,0,1,0,0,1,1,0
DORM,1,1,0,1,0,0,1,0,0
DOV,1,1,1,1,1,1,1,1,1
DOW,0,0,0,0,1,0,1,0,0
DOX,1,1,0,1,0,0,1,0,0
DOYU,1,0,1,0,0,1,0,1,0
DPW,0,0,0,0,0,0,0,0,0
DPZ,1,1,0,1,0,1,1,1,0
DQ,1,1,0,1,0,0,0,0,0
DRE,1,1,1,1,0,0,0,1,0
DRH,1,1,1,1,0,0,1,1,1
DRI,1,1,1,1,0,1,1,1,0
DRIO,0,0,1,0,0,1,0,1,0
DRNA,0,0,1,0,0,0,0,0,1
DRQ,1,1,1,1,0,0,1,0,1
DRRX,0,0,1,0,0,0,0,1,1
DS,0,0,0,0,0,0,0,0,0
DSGX,1,1,0,1,1,1,0,1,0
DSKE,0,0,0,0,0,0,0,1,1
DSPG,0,0,1,0,0,1,0,1,0
DSS,0,0,0,0,0,1,0,0,0
DSWL,1,1,0,1,0,1,1,0,1
