symbol,roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover
AIH,1,1,1,1,1,0,1,1,0
AIHS,0,0,1,0,0,0,0,0,1
AIKI,0,0,0,0,0,0,0,0,0
AIM,0,0,1,0,0,1,0,0,0
AIMC,1,1,1,1,1,0,0,1,0
AIN,1,1,1,1,1,0,1,1,1
AINC,0,0,0,0,0,0,1,0,0
AINV,1,1,0,1,0,0,1,1,0
AIR,1,1,0,1,1,0,0,0,1
AIRG,1,1,1,1,0,1,1,1,0
AIRI,0,1,1,1,0,0,0,1,1
AIRT,1,1,0,1,0,0,1,1,0
AIT,1,1,0,1,1,1,1,1,0
AIV,1,1,0,1,0,0,0,0,0
AIZ,1,1,1,1,0,0,1,1,1
AJG,1,1,0,1,0,0,0,1,0
AJRD,1,1,0,1,0,1,0,1,0
AJX,1,1,1,1,1,0,0,1,1
AKAM,1,1,1,1,0,1,1,1,0
AKBA,0,0,0,0,0,0,0,0,1
AKR,1,1,1,1,0,0,0,1,1
AKRO,0,0,1,0,0,0,0,1,0
AKTS,0,0,1,0,0,1,0,1,0
AKTX,0,0,0,0,0,0,0,1,0
AL,1,1,0,1,0,0,0,0,0
ALAC,1,0,1,0,0,0,1,1,0
ALB,1,1,0,1,0,0,0,0,0
ALBO,0,0,0,0,0,0,0,0,0
ALC,0,0,0,0,0,1,1,1,1
ALCO,1,1,1,1,1,0,0,1,1
ALDX,0,0,0,0,0,0,0,1,0
ALE,1,1,1,1,0,0,0,1,0
ALEC,0,0,0,0,0,0,0,0,0
ALEX,0,0,1,0,1,0,0,0,0
ALF,0,0,1,0,0,0,1,1,0
ALG,1,1,0,1,0,0,0,0,0
ALGN,1,1,0,1,0,0,1,0,0
ALGT,1,1,1,1,0,0,0,1,0
ALIM,0,0,0,0,0,0,0,0,1
ALJJ,0,1,0,1,1,0,0,0,0
ALK,1,1,1,1,0,1,0,1,0
ALKS,0,0,0,0,0,0,0,1,1
ALL,1,1,1,1,0,0,1,1,1
ALLE,1,1,0,1,1,1,1,1,0
ALLK,0,0,1,0,0,1,0,1,0
ALLO,0,0,1,0,0,1,0,1,0
ALLT,0,0,1,0,0,0,0,0,1
ALLY,1,1,1,1,1,0,1,1,1
ALNA,0,0,0,0,0,0,0,1,0
ALNY,0,0,0,0,0,0,0,0,0
ALOT,1,1,0,1,0,0,0,0,0
ALPN,0,0,0,0,0,0,0,0,1
ALRM,1,1,1,1,0,1,0,0,0
ALRN,0,0,0,0,1,0,0,1,0
ALRS,1,1,1,1,1,0,0,0,0
ALSN,1,1,0,1,1,0,1,0,0
ALT,0,0,1,0,1,1,0,0,0
ALTG,0,0,1,0,1,0,0,1,0
ALTM,0,0,0,0,0,0,1,1,0
ALTR,0,1,0,1,0,1,0,1,0
ALV,1,1,1,1,0,1,0,0,1
ALX,1,1,1,1,1,0,1,1,1
ALYA,0,0,1,0,1,1,0,0,0
AM,0,0,0,0,0,1,0,0,0
AMAT,1,1,0,1,0,0,1,0,0
AMBA,0,0,0,0,0,0,0,0,0
AMBC,0,1,0,1,1,0,0,0,1
AMBO,0,0,0,0,0,0,0,0,1
AMC,0,1,0,1,0,0,0,0,0
AMCI,1,0,1,0,0,0,1,1,0
AMCR,1,1,1,1,0,1,0,0,0
AMCX,1,1,0,1,0,1,1,0,0
