roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover,price_change
-0.003,1066000.0,-0.015,1066000.003,0.0,,-247197.0,-0.066,0.001,-0.0815154994259472
0.012,7079000.0,0.005,7078999.988,0.0,,-20895.0,-0.028,0.021,-0.196
0.007,5086000.0,-0.0059999999999999,5085999.993,0.0,,28917.0,-0.01,0.005,-0.1666666666666666
0.013,7137000.0,0.0009999999999999,7136999.987,0.0,,-187999.0,0.027,0.003,-0.0579710144927535
0.012,6511000.0,-0.021,6510999.988,-7500000.0,,-484641.0,-0.031,-0.001,0.0454545454545453
0.033,13104000.0,0.02,13103999.967,0.0,,-68927.0,0.035,0.072,0.0708491076257436
0.013,7714000.0,0.0029999999999999,7713999.987,0.0,,-138667.0,-0.02,0.033,0.1206060606060606
0.01,5914000.0,0.003,5913999.99,0.0,,-978804.0,-0.01,0.0109999999999999,0.1870503597122302
0.007,5545000.0,0.014,5544999.993,0.0,,-35665.0,-0.0199999999999999,0.007,0.3238095238095236
-0.007,4106000.0,0.012,4106000.007,0.0,,-34885.0,-0.022,0.04,0.4583333333333334
0.072,289608000.0,-0.04,289607999.928,55954000.0,,-2874640.0,0.0259999999999999,0.1159999999999998,-0.1552044609665426
0.112,254699000.0,0.058,254698999.888,-129031000.0,,-1432087.0,0.015,0.0430000000000001,0.1582346609257264
0.054,242676000.0,-0.002,242675999.946,-112621000.0,,-1098197.0,0.025,-0.0530000000000001,0.7089771891096396
0.056,235941000.0,0.0209999999999999,235940999.944,4368000.0,,77691.0,0.013,0.0889999999999999,0.1822531535450196
0.035,146481000.0,-0.03,146480999.965,463378000.0,,553152.0,0.032,0.02,-0.2267070299360915
0.065,187058000.0,-0.032,187057999.935,1176000.0,,-3790000.0,0.023,-0.0449999999999999,-0.027795945062132
0.097,279706000.0,0.0269999999999999,279705999.903,-12261000.0,,-264340.0,0.001,-0.004,0.092142857142857
0.07,188086000.0,-0.0139999999999999,188085999.93,111999000.0,,-4100730.0,0.0029999999999998,-0.092,0.0021474588403721
0.084,193882000.0,-0.0049999999999999,193881999.916,-13254000.0,,-1229909.0,-0.0029999999999998,-0.0459999999999998,0.1714884696016771
0.089,180738000.0,0.0129999999999999,180737999.911,-59773000.0,,875601.0,0.0079999999999998,0.0389999999999999,0.4887640449438203
-0.005,-10768000.0,-0.183,-10767999.995,38986000.0,-0.7400000000000002,381885.0,-0.1069999999999999,-0.3540000000000001,-0.4718693284936479
0.178,86951000.0,0.0779999999999999,86950999.822,6426000.0,0.6220000000000003,822850.0,0.1009999999999999,0.081,-0.4081632653061224
0.1,23020000.0,0.054,23019999.9,-24770000.0,0.5489999999999999,1622281.0,0.016,0.0279999999999999,-0.4696164071401443
0.046,13449000.0,0.02,13448999.954,37984000.0,-0.2520000000000002,2167803.0,-0.021,0.018,2.0177650429799425
0.026,5138000.0,,5137999.974,1464000.0,0.3349999999999999,2226909.0,0.045,,0.3697017268445839
0.136,55790000.0,-0.0539999999999999,55789999.864,0.0,-0.141,-456753.0,-0.066,-0.02,0.3326643251379829
0.19,74103000.0,-0.0219999999999999,74102999.81,0.0,-0.54,-208126.0,-0.003,-0.1149999999999999,0.0313065976714101
0.212,79594000.0,0.0239999999999999,79593999.788,0.0,0.75,-408031.0,0.005,0.052,0.2097026604068857
0.188,71302000.0,0.002,71301999.812,0.0,-0.2079999999999997,-1007177.0,-0.001,-0.0270000000000001,0.3083538083538082
0.186,68006000.0,0.01,68005999.814,0.0,-0.0590000000000001,-974845.0,0.0239999999999999,-0.0099999999999997,0.0848511772545535
0.176,55825000.0,0.035,55824999.824,0.0,0.8180000000000001,-89064.0,0.047,-0.0490000000000001,0.2336274456074972
0.141,44234000.0,0.0629999999999999,44233999.859,-4575000.0,0.129,-171180.0,0.059,0.0749999999999999,0.5724750086177182
0.078,22169000.0,-0.059,22168999.922,4575000.0,-0.3500000000000001,-371171.0,-0.052,-0.0419999999999998,0.3186363636363634
0.137,32715000.0,-0.0449999999999999,32714999.863,-76000.0,-0.585,-2336698.0,-0.049,-0.0830000000000001,0.0046808996460783
0.182,43754000.0,-0.018,43753999.818,-2916000.0,1.089,921.0,0.035,-0.353,0.4070682730923696
0.048,604275000.0,-0.008,604274999.952,1393000.0,0.006,-2307986.0,0.004,-0.028,-0.1515495991384467
0.056,570212000.0,0.001,570211999.944,1072000.0,0.1519999999999999,216521.0,-0.009,-0.03,0.4661403508771928
0.055,787598000.0,-0.003,787597999.945,-170504000.0,0.1060000000000001,439104.0,-0.009,-0.0549999999999999,-0.2720771342826129
0.058,825780000.0,-0.0039999999999999,825779999.942,-423134000.0,0.034,181746.0,0.002,-0.0430000000000001,0.0212585588522987
0.062,851710000.0,-0.016,851709999.938,583309000.0,-0.1760000000000001,214175.0,-0.0489999999999999,-0.0549999999999999,-0.0072505988217777
0.078,660318000.0,-0.0119999999999999,660317999.922,448496000.0,0.199,-728650.0,0.002,-0.1519999999999999,0.2308366533864541
0.09,657315000.0,-0.019,657314999.91,189104000.0,0.1959999999999999,730565.0,0.002,-0.2570000000000001,0.6015824400204186
0.109,664642000.0,0.005,664641999.891,114160000.0,-0.1009999999999999,-7135629.0,-0.003,-0.0839999999999998,-0.086393844001399
0.104,584933000.0,0.016,584932999.896,97553000.0,-0.139,-12201083.0,0.011,0.0229999999999999,0.3694714992814943
0.088,454385000.0,0.0069999999999999,454384999.912,-272481000.0,-0.036,-2738615.0,0.01,0.022,0.5149975810353168
0.16,70898000000.0,0.0199999999999999,70897999999.84,-1197000000.0,-0.1519999999999999,-388914000.0,-0.002,0.0519999999999999,0.2339897812391487
0.14,61344000000.0,-0.0089999999999999,61343999999.86,28648000000.0,-0.0769999999999999,-198001000.0,-0.006,-0.0429999999999999,0.1686376811594203
0.149,60024000000.0,-0.048,60023999999.851,22570000000.0,0.244,-243018000.0,-0.01,-0.156,0.492343628341552
0.197,71230000000.0,0.019,71229999999.803,29167000000.0,0.0289999999999999,-289509000.0,0.015,0.034,-0.0308543640479583
0.178,52503000000.0,-0.008,52502999999.822,18335000000.0,-0.599,-433326000.0,0.01,-0.031,0.1347160117971648
0.186,48999000000.0,-0.08,48998999999.814,16960000000.0,0.183,-286678000.0,-0.063,-0.139,0.4017470160698806
0.266,55241000000.0,0.01,55240999999.734,0.0,-0.1120000000000001,78981000.0,0.0339999999999999,-0.074,-0.1183006843355361
0.256,33790000000.0,0.033,33789999999.744,0.0,-0.403,84713307.0,0.011,0.03,0.4860647573782524
0.223,18385000000.0,0.102,18384999999.777,0.0,0.1300000000000001,116400382.0,0.034,0.263,0.3013689285064581
0.121,7658000000.0,-0.0259999999999999,7657999999.879,0.0,-0.5810000000000002,82203450.0,0.0169999999999999,-0.2089999999999999,0.5596538516101573
0.009,79535000.0,-0.004,79534999.991,-34248000.0,,120919.0,0.003,0.007,0.059477866061294
0.013,93646000.0,-0.003,93645999.987,263490000.0,,773247.0,-0.004,-0.006,0.3541346449431293
0.016,97941000.0,-0.0029999999999999,97940999.984,1787000.0,,1023939.0,-0.01,0.0099999999999999,-0.2469907407407407
0.019,94151000.0,0.008,94150999.981,-3068000.0,,1840037.0,-0.005,0.003,0.1993337034980566
0.011,83669000.0,0.0029999999999999,83668999.989,17637000.0,,3179561.0,0.002,-0.003,-0.1562426797844927
0.008,81101000.0,-0.012,81100999.992,492000.0,,723592.0,0.013,0.007,0.2750896057347671
0.02,71906000.0,0.018,71905999.98,101203000.0,,379619.0,0.013,0.009,0.0991464215364411
0.002,58776000.0,,58775999.998,48653000.0,,124753.0,-0.0999999999999999,,0.3902327704244637
-0.05,-4701735.0,0.0419999999999999,-4701734.95,0.0,,9527094.0,,0.0,-0.4924114671163574
-0.092,-5699743.0,0.002,-5699742.908,0.0,,12394144.0,,0.0,-0.29236276849642
-0.094,-4467064.0,-0.065,-4467063.906,0.0,3.552,11742497.0,,-0.008,-0.2168224299065421
-0.029,-4020434.0,0.3,-4020433.971,0.0,-9.623,9334663.0,0.0,0.002,0.507042253521127
-0.329,-5908575.0,-0.199,-5908574.671,0.0,5.35,4150000.0,0.0,0.002,-0.2111111111111111
-0.13,-4110382.0,0.069,-4110381.87,0.0,-6.804,4856000.0,0.0,-0.002,-0.3706293706293705
-0.199,-5938874.0,-0.361,-5938873.801,0.0,-35.639,600000.0,0.0,0.0,-0.337962962962963
0.162,7013561.0,0.274,7013560.838,0.0,9.058,3621499.0,0.0,-0.002,-0.1755725190839694
-0.112,-4656522.0,0.0,-4656521.888,0.0,0.0,0.0,0.0,0.0,-0.3482587064676616
-0.112,-4656522.0,-0.024,-4656521.888,0.0,3.844000000000001,6527677.0,0.499,-0.09,0.451263537906137
0.051,283542000.0,0.0029999999999999,283541999.949,242841000.0,-0.026,314200.0,-0.021,0.0409999999999999,-0.5087358684480987
0.048,241974000.0,0.038,241973999.952,375588000.0,0.162,308180.0,-0.0199999999999999,0.018,-0.084235294117647
0.01,168311000.0,0.008,168310999.99,-49896000.0,-0.555,489957.0,0.0419999999999999,0.0,0.1383928571428571
0.002,123505000.0,-0.024,123504999.998,-71777000.0,-0.0609999999999999,-171067.0,0.063,0.003,0.5098409274737125
0.026,175972000.0,-0.001,175971999.974,276459000.0,-0.1739999999999999,-230911.0,0.004,-0.0319999999999999,-0.2203069161236072
0.027,186790000.0,-0.02,186789999.973,392583000.0,-0.506,-1404812.0,0.005,-0.127,0.464142813173284
0.047,226491000.0,0.001,226490999.953,554026000.0,0.486,138677.0,0.023,-0.069,-0.303088803088803
0.046,151100000.0,-0.031,151099999.954,262783000.0,-1.2600000000000002,366463.0,-0.0439999999999999,-0.0579999999999999,0.034850166481687
0.077,227886000.0,0.03,227885999.923,-78277000.0,-1.816,235290.0,-0.001,0.0809999999999999,-0.2935549631488161
0.047,150007000.0,0.0069999999999999,150006999.953,-106361000.0,0.7899999999999996,4641170.0,0.181,-0.3729999999999999,0.4447213411871319
